B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
58.0,94.5,87.0,92.0,178.0,218.0,747.0,5.0,182.88,193.04,29.0,39.25,26.5,49.25,7.25,70.75,90.75,646.25,185.42,185.42
50.5625,86.25,23.625,21.75,89.125,275.8466796875,689.875,12.0,180.34,172.72,4.0,29.0,1.5,5.0,0.0,222.5,22.0,340.5,182.88,177.8
87.625,152.9375,106.25,115.609375,65.18862915039062,196.68418884277344,900.0,24.0,175.26,177.8,42.78125,114.0,41.6953125,122.1015625,0.1171875,79.6328125,45.7109375,900.0,167.64,172.72
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,182.88,193.04,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,182.88,180.34
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,177.8,180.34
25.75,101.75,51.25,68.25,2.0,73.75,588.5,7.0,170.18,180.34,14.75,45.0,11.75,34.25,0.5,323.796875,63.25,798.0,170.18,180.34
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,172.72,180.34,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,165.1,167.64
87.625,132.125,80.25,83.75,283.0,44.875,819.125,11.0,172.72,172.72,20.25,61.875,21.75,64.3125,0.75,323.796875,44.375,720.9375,172.72,172.72
1.0,19.0,0.0,1.0,0.0,0.0,98.0,1.0,185.42,182.88,17.625,21.125,1.25,3.375,5.0,0.0,0.0,276.0,182.88,187.96
3.5,2.5,4.0,1.0,0.0,0.0,65.5,2.0,177.8,182.88,27.818885803222656,54.0,18.25,50.296875,2.6875,104.125,89.53125,653.9375,177.8,182.88
